,year,electric_range,base_msrp,dol_v_id,geo_id,clusters,cluster
57418,2012,265,59900,215474416,53033002500.0,0,pink
57419,2013,208,69900,3063028,53067012530.0,0,pink
57470,2018,111,33950,209121111,53033026004.0,0,pink
57520,2019,17,52900,202160402,53033032218.0,0,pink
57549,2014,208,69900,116939112,53011041310.0,0,pink
57604,2018,14,54950,103323286,53011041008.0,0,pink
57670,2014,208,69900,234022834,53061041703.0,0,pink
57839,2017,14,44100,257375716,53033025804.0,0,pink
57916,2014,208,69900,226027875,53067012100.0,0,pink
57997,2019,32,39995,233211268,53061041906.0,0,pink
58036,2013,208,69900,122396431,53033025005.0,0,pink
58049,2014,208,69900,114004236,53033030305.0,0,pink
58204,2013,208,69900,220806337,53011040907.0,0,pink
58272,2018,17,52900,348250731,53033000500.0,0,pink
58328,2014,208,69900,140724496,53033030101.0,0,pink
58340,2013,208,69900,134077702,53033032220.0,0,pink
58366,2017,93,32250,316130825,53073000808.0,0,pink
58385,2013,208,69900,475941987,53033001600.0,0,pink
58436,2013,208,69900,144107162,53033032008.0,0,pink
58455,2014,208,69900,187440816,53033023701.0,0,pink
58463,2019,17,52900,226015730,53033025007.0,0,pink
58485,2013,208,69900,117041543,53053072509.0,0,pink
58550,2020,14,81100,142102880,53033002700.0,0,pink
58635,2018,17,52900,208507400,53061050502.0,0,pink
58722,2019,16,53400,228446410,53061051918.0,0,pink
58759,2013,208,69900,171738185,53033010800.0,0,pink
58765,2018,111,33950,138300011,53033031604.0,0,pink
58802,2016,93,31950,154810414,53033030003.0,0,pink
58825,2016,93,31950,111000816,53033022001.0,0,pink
58864,2013,208,69900,221039787,53015000801.0,0,pink
58951,2013,208,69900,253169255,53053072305.0,0,pink
59007,2016,93,31950,320269008,53033022102.0,0,pink
59034,2017,93,32250,327958592,53061052401.0,0,pink
59139,2018,14,54950,141820010,53011040907.0,0,pink
59149,2016,93,31950,303656587,53061052120.0,0,pink
59166,2010,245,110950,115173376,53033032704.0,0,pink
59208,2018,14,90700,167076031,53033022502.0,0,pink
59256,2014,208,69900,179784706,53033032307.0,0,pink
59290,2012,33,102000,140367027,53011041110.0,0,pink
59318,2016,93,31950,207312192,53033022102.0,0,pink
59319,2019,17,34995,186947484,53033004402.0,0,pink
59336,2018,14,54950,152668659,53033029805.0,0,pink
59420,2013,208,69900,216064621,53033009702.0,0,pink
59428,2013,208,69900,1749009,53033026802.0,0,pink
59540,2018,16,52650,190125757,53033024601.0,0,pink
59556,2017,93,32250,193224181,53033005201.0,0,pink
59563,2017,93,32250,476770542,53011040910.0,0,pink
59591,2013,208,69900,127909519,53033025005.0,0,pink
59625,2012,265,59900,103464042,53033024200.0,0,pink
59636,2017,14,44100,219172523,53031950603.0,0,pink
59683,2017,14,44100,211680143,53035091002.0,0,pink
59756,2018,14,184400,277238377,53033032326.0,0,pink
59830,2014,208,69900,194968266,53063011400.0,0,pink
59859,2018,16,52650,186345757,53033024002.0,0,pink
59905,2019,17,52900,127130307,53033011601.0,0,pink
59949,2016,93,31950,169026924,53067010802.0,0,pink
59960,2019,12,36900,124862958,53033032605.0,0,pink
59979,2014,208,69900,204607686,53033027200.0,0,pink
60043,2014,208,69900,161974718,53033004102.0,0,pink
60049,2018,17,52900,105027730,53033002700.0,0,pink
60061,2017,93,32250,349178441,53033002200.0,0,pink
60083,2014,208,69900,175520866,53033002900.0,0,pink
60108,2014,208,69900,176840758,53033001500.0,0,pink
60156,2019,17,52900,154511689,53033024301.0,0,pink
60216,2013,208,69900,5103346,53033022101.0,0,pink
60223,2019,32,39995,168918809,53033010800.0,0,pink
60255,2017,14,44100,267923911,53033030802.0,0,pink
60260,2019,12,36900,255283633,53029970300.0,0,pink
60270,2019,12,36900,192393680,53035092701.0,0,pink
60284,2016,93,31950,183895785,53033005801.0,0,pink
60329,2018,16,52650,209907799,53033004202.0,0,pink
60434,2013,208,69900,349983196,53033021803.0,0,pink
60450,2014,208,69900,348834342,53033032316.0,0,pink
60495,2016,93,31950,138495381,53053071504.0,0,pink
60547,2017,93,32250,151260196,53011040811.0,0,pink
60644,2014,208,69900,1686583,53033030102.0,0,pink
60659,2014,208,69900,116057441,53033025007.0,0,pink
60729,2013,208,69900,187518040,53033025005.0,0,pink
60812,2016,93,31950,102380001,53033024602.0,0,pink
60869,2019,17,34995,176473860,53071920902.0,0,pink
60877,2014,208,69900,239911255,53033010102.0,0,pink
60881,2019,16,53400,152531466,53033023100.0,0,pink
60891,2014,208,69900,141291391,53011041008.0,0,pink
60914,2019,32,39995,309468463,53061052108.0,0,pink
60927,2019,16,53400,190646396,53033032330.0,0,pink
60983,2018,12,36800,131547853,53033010302.0,0,pink
60998,2020,14,81100,131615053,53033024601.0,0,pink
61123,2012,265,59900,128688444,53033024100.0,0,pink
61170,2014,208,69900,192789999,53033024602.0,0,pink
61175,2016,93,31950,285071594,53033002800.0,0,pink
61204,2016,93,31950,234775558,53033001702.0,0,pink
61229,2012,265,59900,168468982,53011041400.0,0,pink
61246,2018,19,64950,238653978,53033032215.0,0,pink
61258,2019,17,34995,8952737,53033022102.0,0,pink
61315,2012,265,59900,476338285,53067011821.0,0,pink
61354,2010,245,110950,267463178,53011040713.0,0,pink
61360,2014,208,69900,304328496,53035090902.0,0,pink
61363,2013,208,69900,957694,53033032703.0,0,pink
61420,2014,208,69900,165864268,53033022102.0,0,pink
61497,2018,19,64950,348630082,53033002700.0,0,pink
61581,2016,14,43700,204011622,53033002700.0,0,pink
61598,2014,208,69900,143205548,53033011102.0,0,pink
61813,2014,208,69900,237719793,53053070100.0,0,pink
61892,2019,32,39995,306546355,53033024400.0,0,pink
61935,2008,220,98950,5212434,53033006900.0,0,pink
62049,2019,32,39995,477945954,53033022300.0,0,pink
62154,2014,208,69900,348758238,53061052605.0,0,pink
62174,2014,208,69900,121328413,53053072801.0,0,pink
62210,2018,19,64950,295425525,53033023403.0,0,pink
62406,2018,19,64950,139003896,53033004701.0,0,pink
62418,2013,208,69900,109753514,53063014500.0,0,pink
62431,2018,17,52900,122280518,53033012100.0,0,pink
62464,2016,93,31950,126947558,53033003100.0,0,pink
62515,2010,245,110950,203082540,53033032324.0,0,pink
62524,2014,208,69900,109903468,53005011506.0,0,pink
62658,2017,14,44100,250160683,53035091702.0,0,pink
62850,2013,208,69900,348050447,53031950400.0,0,pink
62856,2016,93,31950,3453628,53033002800.0,0,pink
62894,2019,17,34995,185533526,53033005804.0,0,pink
62923,2014,208,69900,106274402,53011041008.0,0,pink
62973,2013,208,69900,287753840,53033025005.0,0,pink
63040,2013,208,69900,167374476,53033006300.0,0,pink
63047,2020,14,81100,154400669,53033023701.0,0,pink
63069,2018,19,64950,238385591,53035090102.0,0,pink
63081,2018,14,54950,253135809,53073000904.0,0,pink
63087,2019,17,52900,224057690,53033029806.0,0,pink
63116,2018,14,54950,191378043,53033029101.0,0,pink
63145,2018,17,52900,105031090,53033004101.0,0,pink
63166,2016,93,31950,212432762,53033000700.0,0,pink
63169,2016,93,31950,148905543,53061053507.0,0,pink
63262,2019,17,52900,238626930,53033032316.0,0,pink
63290,2019,12,36900,475019261,53033004101.0,0,pink
63331,2014,208,69900,226414737,53033030306.0,0,pink
63415,2018,17,52900,340295441,53033002200.0,0,pink
63440,2013,208,69900,162077366,53033029309.0,0,pink
63459,2016,93,31950,249235430,53061041605.0,0,pink
63479,2014,208,69900,187946713,53033024500.0,0,pink
63483,2019,32,39995,190387564,53011043100.0,0,pink
63493,2013,208,69900,208571660,53033020900.0,0,pink
63524,2013,208,69900,138206078,53033032703.0,0,pink
63576,2013,208,69900,1261606,53035091002.0,0,pink
63642,2013,208,69900,322376092,53063003800.0,0,pink
63680,2014,208,69900,213874790,53035091001.0,0,pink
63706,2008,220,98950,227541513,53033000500.0,0,pink
63769,2017,14,44100,132433332,53033010602.0,0,pink
63814,2014,208,69900,102201935,53033031603.0,0,pink
63857,2019,16,53400,207190994,53033032217.0,0,pink
63882,2019,17,34995,179118236,53033003201.0,0,pink
63914,2018,17,52900,348500400,53033027500.0,0,pink
63992,2013,208,69900,105486167,53035090400.0,0,pink
64046,2019,15,55700,320375184,53033032213.0,0,pink
64057,2019,32,39995,475891041,53033003400.0,0,pink
64109,2013,208,69900,116806721,53061040500.0,0,pink
64115,2018,14,54950,475566332,53033010602.0,0,pink
64129,2014,208,69900,254474671,53053072405.0,0,pink
64164,2019,17,34995,132645649,53033021000.0,0,pink
64179,2017,93,32250,235288504,53033011500.0,0,pink
64250,2008,220,98950,143221620,53033005700.0,0,pink
64268,2013,208,69900,197910184,53033005201.0,0,pink
64281,2013,208,69900,245213860,53011040907.0,0,pink
64302,2014,208,69900,279849,53033024200.0,0,pink
64305,2019,12,36900,8908504,53035092600.0,0,pink
64345,2017,14,44100,310660395,53033025104.0,0,pink
64374,2018,14,45600,198521333,53033008900.0,0,pink
64403,2016,93,31950,172020124,53063003100.0,0,pink
64422,2016,93,31950,135000148,53067010700.0,0,pink
64447,2014,208,69900,348021355,53033022101.0,0,pink
64449,2019,12,36900,172563107,53033008002.0,0,pink
64468,2016,93,31950,223643885,53033022001.0,0,pink
64482,2018,14,54950,137165591,53011040301.0,0,pink
64520,2019,12,36900,236515870,53033022802.0,0,pink
64574,2014,208,69900,129198702,53033000602.0,0,pink
64608,2019,17,52900,473736532,53033024302.0,0,pink
64614,2013,208,69900,145062697,53033032402.0,0,pink
64626,2017,93,32250,348303770,53033032213.0,0,pink
64652,2014,208,69900,193175517,53033025007.0,0,pink
64657,2019,15,55700,478381291,53033010200.0,0,pink
64708,2018,14,54950,169490800,53033026101.0,0,pink
64742,2012,265,59900,168933887,53033031204.0,0,pink
64761,2013,208,69900,191655670,53033006300.0,0,pink
64785,2013,208,69900,348316342,53033011802.0,0,pink
64802,2017,93,32250,229807868,53061052607.0,0,pink
64834,2014,208,69900,205321525,53033010900.0,0,pink
64838,2018,17,52900,189882780,53033022502.0,0,pink
64844,2013,208,69900,222261091,53033005700.0,0,pink
64986,2018,16,52650,348359147,53033024301.0,0,pink
64992,2014,208,69900,240027210,53053060908.0,0,pink
65095,2013,208,69900,149014610,53035090800.0,0,pink
65102,2018,19,64950,207523207,53033022402.0,0,pink
65131,2018,14,45600,156863360,53061042005.0,0,pink
65144,2016,93,31950,202789303,53033010601.0,0,pink
65212,2013,208,69900,170185928,53033008002.0,0,pink
65233,2013,208,69900,101122773,53033032007.0,0,pink
65254,2014,208,69900,230317433,53033024200.0,0,pink
65269,2016,93,31950,330626278,53035090202.0,0,pink
65290,2020,14,81100,107625563,53033022702.0,0,pink
65307,2013,208,69900,251690099,53033024400.0,0,pink
65338,2013,208,69900,198036296,53033031502.0,0,pink
65339,2008,220,98950,105108503,53033004901.0,0,pink
65377,2014,208,69900,154049612,53033022702.0,0,pink
65457,2016,93,31950,100485353,53033032103.0,0,pink
65493,2019,12,36900,292721656,53011040811.0,0,pink
65565,2014,208,69900,143621999,53061051937.0,0,pink
65620,2014,208,69900,130392839,53033022402.0,0,pink
65637,2018,19,64950,125738168,53035090902.0,0,pink
65728,2012,265,59900,171563962,53033001702.0,0,pink
65743,2019,32,39995,347620948,53033032323.0,0,pink
65760,2013,208,69900,199462896,53061041703.0,0,pink
65765,2013,208,69900,171292026,53033004000.0,0,pink
65905,2018,12,36800,227489349,53029970300.0,0,pink
66033,2017,93,32250,177916980,53067011623.0,0,pink
66130,2019,12,36900,115332003,53033008900.0,0,pink
66163,2013,208,69900,112597124,53033024400.0,0,pink
66261,2013,208,69900,221764140,53033003000.0,0,pink
66326,2019,16,53400,251020451,53033024904.0,0,pink
66346,2019,17,52900,475618832,53033006703.0,0,pink
66349,2016,93,31950,7439477,53053061002.0,0,pink
66456,2013,208,69900,107575506,53035090700.0,0,pink
66471,2019,16,53400,101098133,53033025601.0,0,pink
66501,2017,93,32250,302333622,53033031605.0,0,pink
66521,2013,208,69900,107849724,53011041203.0,0,pink
66549,2013,208,69900,157017969,53033025007.0,0,pink
66649,2019,17,52900,304931644,53033027701.0,0,pink
66715,2019,12,36900,227500038,53033011601.0,0,pink
66734,2019,32,39995,185846902,53033006200.0,0,pink
66764,2016,93,31950,263895950,53033032011.0,0,pink
66780,2018,17,52900,131251179,53033006300.0,0,pink
66902,2018,17,52900,196613490,53033025007.0,0,pink
67003,2019,15,55700,8225101,53033022901.0,0,pink
67076,2017,14,44100,200753059,6013313204.0,1,purple
67081,2018,14,90700,179548379,53077003400.0,0,pink
67234,2019,32,39995,240751283,53015001504.0,0,pink
67247,2012,265,59900,233455701,53033032321.0,0,pink
67253,2018,111,33950,260879090,53061051927.0,0,pink
67358,2019,32,39995,316900251,53061051937.0,0,pink
67391,2018,14,45600,227178976,53033008700.0,0,pink
67459,2018,19,64950,305639141,53033024601.0,0,pink
67478,2018,12,36800,254435079,53033022702.0,0,pink
67538,2012,265,59900,106525961,53033032225.0,0,pink
67539,2014,208,69900,302437446,53033032324.0,0,pink
67608,2013,208,69900,148623730,53035092902.0,0,pink
67623,2013,208,69900,111117212,53029971100.0,0,pink
67627,2019,12,36900,118090269,53033004202.0,0,pink
67628,2013,208,69900,194662373,53067011810.0,0,pink
67663,2020,14,81100,212235880,53033007800.0,0,pink
67841,2018,17,52900,202014977,53061053603.0,0,pink
67851,2014,208,69900,189258765,53033005600.0,0,pink
67858,2016,93,31950,113944365,53063014001.0,0,pink
67921,2014,208,69900,214300089,53033024100.0,0,pink
68022,2013,208,69900,478469820,53033023300.0,0,pink
68081,2018,111,33950,135658435,53067011628.0,0,pink
68087,2018,14,90700,124942275,53033022501.0,0,pink
68110,2012,265,59900,208282602,53063014500.0,0,pink
68111,2016,93,31950,349595291,53041970100.0,0,pink
68124,2014,208,69900,171048538,53033025005.0,0,pink
68125,2017,14,44100,156380227,53033004800.0,0,pink
68213,2014,208,69900,235148434,53067012002.0,0,pink
68242,2014,208,69900,245273129,53053063302.0,0,pink
68279,2013,208,69900,195391710,53053071211.0,0,pink
68305,2014,208,69900,111397100,53033032217.0,0,pink
68311,2013,208,69900,189221917,53033030003.0,0,pink
68326,2016,93,31950,173534539,53033026802.0,0,pink
68370,2018,17,52900,206093387,53033003201.0,0,pink
68376,2016,93,31950,209997770,53033023401.0,0,pink
68381,2018,111,33950,339620424,53067011721.0,0,pink
68386,2018,14,54950,193997450,53063002300.0,0,pink
68412,2018,12,36800,9444473,53033002800.0,0,pink
68444,2014,208,69900,120897346,53033022402.0,0,pink
68455,2016,14,43700,106967479,53053071306.0,0,pink
68490,2013,208,69900,138127006,53073000805.0,0,pink
68518,2016,93,31950,194217999,53035940100.0,0,pink
68547,2013,208,69900,196562922,53067011721.0,0,pink
68549,2013,208,69900,223308172,53033025007.0,0,pink
68588,2018,14,54950,136877793,53005010819.0,0,pink
68693,2018,16,52650,219604577,53063004300.0,0,pink
68749,2014,208,69900,198049008,53033024905.0,0,pink
68806,2013,208,69900,175521510,53033005902.0,0,pink
68859,2013,208,69900,237673796,53011040605.0,0,pink
68901,2016,93,31950,224367237,53053071411.0,0,pink
68920,2013,208,69900,330548102,53073000902.0,0,pink
68958,2019,17,34995,476741401,53033011500.0,0,pink
69018,2013,208,69900,7556804,53033021400.0,0,pink
69022,2012,265,59900,154262111,53033006400.0,0,pink
69024,2018,19,64950,172855630,53033024602.0,0,pink
69027,2019,17,34995,256344000,53033009702.0,0,pink
69055,2013,208,69900,196543896,53033022802.0,0,pink
69073,2018,19,64950,310359556,53033024301.0,0,pink
69093,2013,208,69900,147782876,53061053400.0,0,pink
69126,2013,208,69900,301586449,53061042006.0,0,pink
69163,2013,208,69900,976846,53061052107.0,0,pink
69208,2013,208,69900,225066159,53033006300.0,0,pink
69252,2014,208,69900,130115408,53061052207.0,0,pink
69262,2018,14,54950,119581738,53033024601.0,0,pink
69294,2012,265,59900,200000097,53033001500.0,0,pink
69308,2014,208,69900,152810171,53033010200.0,0,pink
69323,2014,208,69900,175247502,53033025103.0,0,pink
69348,2018,111,33950,295444124,53033020600.0,0,pink
69457,2017,14,44100,348418164,53033001800.0,0,pink
69469,2014,208,69900,211234264,53033003000.0,0,pink
69491,2018,14,45600,228612527,53035090201.0,0,pink
69527,2014,208,69900,185242823,53033008700.0,0,pink
69546,2018,19,64950,168734058,53033024302.0,0,pink
69596,2014,208,69900,149136893,53033021400.0,0,pink
69650,2013,208,69900,349769290,53033001800.0,0,pink
69686,2014,208,69900,240288058,53047970302.0,0,pink
69716,2014,208,69900,244777711,53033031204.0,0,pink
69742,2014,208,69900,190542397,53033025007.0,0,pink
69772,2012,265,59900,215263296,53033000800.0,0,pink
69897,2019,12,36900,341392929,53033007800.0,0,pink
70016,2018,14,54950,271130555,53033032224.0,0,pink
70053,2014,208,69900,349755325,53033001500.0,0,pink
70080,2014,208,69900,177534269,53033032321.0,0,pink
70091,2017,14,44100,266185951,53033002700.0,0,pink
70131,2017,93,32250,128678028,53033010402.0,0,pink
70154,2013,208,69900,199805329,53061041809.0,0,pink
70191,2018,14,54950,453970114,53033022701.0,0,pink
70198,2019,17,52900,150579236,53033007503.0,0,pink
70212,2019,12,36900,198391847,53011040610.0,0,pink
70449,2013,208,69900,174116218,53033032324.0,0,pink
70458,2014,208,69900,187887465,53073010407.0,0,pink
70506,2018,17,52900,243938173,53035091301.0,0,pink
70529,2019,17,52900,212958469,53035090901.0,0,pink
70539,2014,208,69900,190363827,53031950400.0,0,pink
70720,2018,12,36800,346961653,53033001900.0,0,pink
70732,2018,14,90700,185028441,53033024200.0,0,pink
70765,2018,16,52650,233594504,53033003302.0,0,pink
70839,2018,14,54950,257276988,53033004703.0,0,pink
71023,2016,93,31950,187992794,53035091002.0,0,pink
71041,2014,208,69900,8881708,53053071212.0,0,pink
71103,2013,208,69900,314279514,53057952403.0,0,pink
71183,2014,208,69900,3703171,53011041112.0,0,pink
71250,2017,93,32250,177763323,53011040809.0,0,pink
71283,2013,208,69900,9000876,53061041606.0,0,pink
71308,2013,208,69900,235703639,53035091002.0,0,pink
71351,2008,220,98950,147526704,53033006800.0,0,pink
71381,2013,208,69900,257046471,53033032311.0,0,pink
71414,2018,14,90700,2227578,53061052008.0,0,pink
71497,2017,93,32250,143374948,53033025103.0,0,pink
71548,2018,14,54950,267862696,53033024602.0,0,pink
71588,2013,208,69900,293019996,53061051913.0,0,pink
71653,2018,14,45600,199472045,53053071210.0,0,pink
71673,2016,93,31950,208154754,53033011101.0,0,pink
71685,2018,111,33950,293797381,53033001400.0,0,pink
71694,2016,93,31950,152517809,53033022802.0,0,pink
71702,2018,14,45600,348880136,53033028700.0,0,pink
71737,2013,208,69900,243933105,53053072509.0,0,pink
71871,2016,93,31950,262308987,53073000803.0,0,pink
71936,2014,208,69900,131426536,53033024002.0,0,pink
